run_group,run_name,run_dir,run_order,run_mtime,target_name,strategy,gravity,task,trials,strict_success_count,shape_success_count,strict_success_rate,shape_success_rate,stable_fraction,mean_stable_count,mean_failure_count,mean_height_m,mean_rmse_xy_m,mean_drift_m,mean_velocity_inf_norm,candidate_pose_ranker_used_rate,pose_risk_ranker_used_rate,stone_fit_ranker_used_rate,base_support_prior_rate,base_continuity_prior_rate,low_release_search_requested_rate
batch_runs,20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_collect_exploit_00_seed206256744,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_collect_exploit_00_seed206256744,20260622,1782277567.752573,single_face_wall_3course_v1,statics_wall,moon,single_face_wall_3course_v1|moon,1,0,0,0.0,0.0,0.7333333333333333,11.0,4.0,0.22520808112147386,0.2844753746340886,0.23183891420979258,0.3274416832977662,1.0,1.0,1.0,0.0,0.0,0.0
batch_runs,20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_collect_exploit_00_seed206256744,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_collect_exploit_00_seed206256744,20260622,1782277567.752573,single_face_wall_4course_v1,statics_wall,moon,single_face_wall_4course_v1|moon,1,0,0,0.0,0.0,0.5833333333333334,14.0,10.0,0.28900524992542315,1.1057686082200384,0.0003939124089286853,0.017118698092359323,1.0,1.0,1.0,0.0,0.0,0.0
batch_runs,20260624_driftgate_c12stone_c14pose_4course_moon_seed206260401,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260624_driftgate_c12stone_c14pose_4course_moon_seed206260401,20260624,1782288868.081815,single_face_wall_4course_v1,statics_wall,moon,single_face_wall_4course_v1|moon,2,0,0,0.0,0.0,0.7352941176470589,12.5,4.5,0.2694545386659458,0.14324635583986894,0.3451208695712118,0.7357822354329462,1.0,1.0,1.0,0.0,0.0,0.0
batch_runs,20260624_softrisk_c12stone_c14pose_4course_moon_seed206260402,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260624_softrisk_c12stone_c14pose_4course_moon_seed206260402,20260624,1782288890.5666735,single_face_wall_4course_v1,statics_wall,moon,single_face_wall_4course_v1|moon,2,0,0,0.0,0.0,0.6764705882352942,11.5,5.5,0.22821224106148988,0.13237833097801938,0.30455737458659193,0.7469205198406562,1.0,1.0,1.0,0.0,0.0,0.0
batch_runs,20260624_driftgate_c12stone_c16pose_4course_moon_seed206260403,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260624_driftgate_c12stone_c16pose_4course_moon_seed206260403,20260624,1782290103.7166162,single_face_wall_4course_v1,statics_wall,moon,single_face_wall_4course_v1|moon,2,0,0,0.0,0.0,0.8709677419354839,13.5,2.0,0.28363957021001035,0.14160316359303057,0.4839721583952046,0.08612048523808309,1.0,1.0,1.0,0.0,0.0,0.0
batch_runs,20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_closed_loop_eval,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_closed_loop_eval,20260622,1782290628.212442,single_face_wall_3course_v1,statics_wall,moon,single_face_wall_3course_v1|moon,2,1,1,0.5,0.5,0.96,12.0,0.5,0.24020984715589294,0.0797864059420591,0.1983627276205479,0.031101272585166498,1.0,1.0,1.0,0.0,0.0,0.0
batch_runs,20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_closed_loop_eval,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_closed_loop_eval,20260622,1782290628.212442,single_face_wall_4course_v1,statics_wall,moon,single_face_wall_4course_v1|moon,2,0,0,0.0,0.0,0.6451612903225806,10.0,5.5,0.23989883507469134,0.19126040337098033,0.5116118103013566,0.16541811804888518,1.0,1.0,1.0,0.0,0.0,0.0
batch_runs,20260622_autonomous_wall_flywheel_master_v2_c17_strict_4course,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_strict_4course,20260622,1782297529.6834881,single_face_wall_4course_v1,statics_wall,moon,single_face_wall_4course_v1|moon,2,0,0,0.0,0.0,0.7878787878787878,13.0,3.5,0.25121762414200643,0.13882989281486047,0.3714394494144842,0.04055735083866066,1.0,1.0,1.0,0.0,0.0,0.0
batch_runs,20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_collect_exploit_00_seed206257753,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_collect_exploit_00_seed206257753,20260622,1782302218.2075522,single_face_wall_3course_v1,statics_wall,moon,single_face_wall_3course_v1|moon,1,0,0,0.0,0.0,0.5333333333333333,8.0,7.0,0.11249981980139592,0.3995941669276397,0.10090770527371992,0.01081260903710496,1.0,1.0,1.0,0.0,0.0,0.0
batch_runs,20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_collect_exploit_00_seed206257753,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_collect_exploit_00_seed206257753,20260622,1782302218.2075522,single_face_wall_4course_v1,statics_wall,moon,single_face_wall_4course_v1|moon,1,0,0,0.0,0.0,0.625,15.0,9.0,0.3623340372230308,0.11702562973450806,0.283797045725854,4.030970983371676,1.0,1.0,1.0,0.0,0.0,0.0
