index,source_kind,seed,volume,surface_area,bbox_x,bbox_y,bbox_z,elongation,flatness,sphericity,roughness,angularity,spike_score,compactness,stability_score,mass,major_face_count,largest_face_area_ratio,top3_face_area_ratio,face_area_entropy,normal_concentration,support_face_count,support_face_area_ratio,opposing_face_pair_count,opposing_face_area_ratio,face_planarity,support_plane_quality,cluster_id,cluster_label
0,bearing_block_clast,651947153,0.00236011059017495,0.09654068164462282,0.20583526946431707,0.19566422127223454,0.12399275427706616,1.0519821566045597,1.5780294777146089,0.8879639463801211,0.13814186563102132,0.23207226548106086,0.09436735024975196,0.4726120988610905,2.3261297160041963,6.13628753445487,8.0,0.07294081662039732,0.19633392009982514,0.9948714844614566,0.05158415142075186,1.0,0.07294081662039732,2.0,0.06076485934922919,1.0,0.12156802770066219,9,multi_facet_clast_10
1,buttress_clast,1137990878,0.0009062892419258357,0.04914299914453574,0.14358053122929035,0.13423938093616872,0.10050605642143565,1.0695857670675895,1.3356347439728868,0.9215813630186793,0.08496431132488629,0.23244229987602702,0.15000002000041657,0.46784187922948245,1.7584285014613195,2.356352029007173,9.0,0.07414695162976223,0.20039488179213955,0.9954512609764733,0.051461770833792934,1.0,0.07414695162976223,3.0,0.05613142716275969,1.0,0.14829390325952446,9,multi_facet_clast_10
2,bearing_block_clast,58022551,0.001593383499598672,0.07148554628618067,0.1822125887855029,0.1513812340622705,0.13082409416916896,1.2036669532668094,1.1571357327077614,0.9228818276756648,0.09501273345258711,0.23240744765997212,0.14000003561797136,0.4415523082684829,1.487376931278201,4.142797098956547,10.0,0.07339675892776379,0.20232597300766225,0.993010366507823,0.05213093468942767,1.0,0.07339675892776379,3.0,0.05631959790616771,1.0000000000000002,0.1467935178555276,6,multi_facet_clast_7
3,course_block_clast,990653225,0.0005513498919389949,0.034922398534077824,0.11392340528441552,0.10500333107069668,0.09605928822824786,1.0849503927424278,1.0931096097776276,0.9311041367444233,0.06397885582163036,0.2321252641920941,0.1300000003472943,0.4798128722336078,1.2070786323212483,1.4335097190413868,10.0,0.05836791163979341,0.1687647371592055,0.9989135580304411,0.05032202784963615,1.0,0.05836791163979341,2.0,0.05072326792960317,1.0000000000000002,0.09727985273298903,5,multi_facet_clast_6
4,compact_block_clast,1170558258,0.00034808719657459066,0.025563011148615998,0.08999570942180382,0.08739938963347205,0.09455512886752501,1.050662631307805,1.0297063835253313,0.9361184709147213,0.05474706451495053,0.23192910114587947,0.07661137234121296,0.46802898952014005,1.0428477556892821,0.9050267110939357,12.0,0.05722515622545425,0.1702181294647525,0.998120650848433,0.050548246214922356,1.0,0.05722515622545425,2.0,0.05183391493456681,0.9999999999999998,0.09537526037575705,5,multi_facet_clast_6
5,wall_block_clast,40823647,0.000819915649708045,0.046306104869380006,0.14267581177177563,0.10182948718223317,0.12408469075636003,1.1498260655854735,1.2185536251822533,0.914868463829896,0.09944188906073394,0.23223674206251765,0.13000000471004802,0.45480692037382997,1.5619966532119471,2.1317806892409172,9.0,0.062354056871437004,0.1850715958074015,0.9964480340902557,0.05105883725135002,1.0,0.062354056871437004,2.0,0.06106816163091479,1.0,0.10392342811906166,0,multi_facet_clast
6,tie_bridge_clast,1833794988,0.0005645310801057679,0.03753598456096929,0.1423884496177879,0.10651253440776462,0.08650287833136297,1.336823411530878,1.231317806556118,0.8800247447883557,0.19326609629485172,0.2324836377029495,0.1300000000237278,0.4303103761279103,1.7836483919822208,1.4677808082749966,11.0,0.11763998478290572,0.27611285347883524,0.9750091032093107,0.06409682572755128,2.0,0.2073033821109872,3.0,0.06700060272762812,0.997896373799121,0.4137345865696954,3,multi_facet_clast_4
7,course_block_clast,596906303,0.0005911851259638762,0.03680624556512243,0.12318948724758486,0.10954428530369753,0.09699653390704285,1.1245633389825653,1.129362884334402,0.9255039380386293,0.09555090231953739,0.23178145437032796,0.13000000014910218,0.4516519707832026,1.327483751766112,1.5370813275060782,11.0,0.0587963533046494,0.1757477265489822,0.9966698327870606,0.05096321800607429,1.0,0.0587963533046494,2.0,0.054140918557758023,1.0,0.09799392217441566,4,multi_facet_clast_5
8,interlock_block_clast,551530055,0.00038415948738670534,0.02763826717648037,0.10936352405560446,0.08902397880257878,0.08989190687965545,1.2166114598282691,1.0097493741433574,0.9246577679789748,0.09071523904988539,0.23224732511895002,0.13853649125930878,0.43894638148904,1.1469912657070893,0.9988146672054339,9.0,0.06227956467405908,0.184722902715698,0.9962590093286688,0.051103448021481784,1.0,0.06227956467405908,2.0,0.05290278515785233,1.0,0.10379927445676512,0,multi_facet_clast
9,cap_block_clast,1353667789,0.0014093486113145302,0.06573934784150354,0.16757311070238182,0.13343405414072962,0.13016247849592305,1.2558496538345945,1.0251345524655866,0.9247074452332013,0.09379291083874267,0.23252762617223396,0.13000000086553576,0.48424105729613615,1.2204043532811804,3.6643063894177783,10.0,0.06327753413298562,0.1785037880800534,0.9970867828539793,0.05085611872230448,1.0,0.06327753413298562,3.0,0.05555528971479457,0.9999999999999996,0.12655506826597118,6,multi_facet_clast_7
10,equant_clast,1047635359,0.0007216601400906422,0.04199830254899948,0.12819994636876966,0.12006287390013576,0.09911528228326306,1.0677734274077268,1.2113457292792271,0.9264191679887487,0.09447135629094794,0.2313092917473344,0.13048964169125843,0.47303744245302104,1.4515194712844979,1.8763163642356695,9.0,0.06229385421503492,0.17763318973613146,0.9974918674758183,0.05074971052886095,1.0,0.06229385421503492,0.0,0.0,0.9999999999999999,0.062293854215034916,5,multi_facet_clast_6
11,chock_clast,247971626,0.0005007230429620313,0.032777417353766714,0.10783025910460438,0.10454676205311168,0.10034787409239415,1.0314069703069773,1.0418433175460344,0.9303387535759021,0.0837645941296261,0.23148040084560134,0.13462104483123483,0.4426272690556624,1.0415400995294588,1.3018799117012814,11.0,0.0613164827839173,0.18035006167453885,0.995342682148661,0.0513279582087406,1.0,0.0613164827839173,2.0,0.05299522822119127,1.0,0.10219413797319549,5,multi_facet_clast_6
12,bearing_block_clast,43002387,0.0016091060811797132,0.07222790365000088,0.1704675964306375,0.16440098991304392,0.12069208410480939,1.0369012773025417,1.3621522167955735,0.9193951996435283,0.09676806607468227,0.2318800539496164,0.12808373912944693,0.47572899676058,1.7688496678036065,4.183675811067254,9.0,0.07140609794821307,0.19840740395481443,0.9945508540755988,0.05167441210325508,1.0,0.07140609794821307,2.0,0.05484114411027196,1.0,0.11901016324702177,9,multi_facet_clast_10
13,buttress_clast,1780195043,0.0008973393105849716,0.05067562132513387,0.15476373901256768,0.14264793597586028,0.09130648373353684,1.0849350041682881,1.562297989616544,0.887815735431578,0.152978524470461,0.2312460934231056,0.13648232656983628,0.44516434222890483,2.351009084823679,2.3330822075209263,9.0,0.11044889607233965,0.2506641530774393,0.9854544750255181,0.057865134572200896,1.0,0.11044889607233965,2.0,0.07091509096156393,0.9991552459832544,0.1839259898728957,3,multi_facet_clast_4
14,bearing_block_clast,863017636,0.0007234830519834401,0.04244110374517375,0.13229520863943783,0.12777340799116102,0.09210028677218188,1.0353892153255364,1.3873291003666441,0.9182967119196097,0.09554835378433557,0.2320232176733557,0.14000002071730888,0.4647108211187431,1.829977114040748,1.8810559351569445,10.0,0.06524806007733863,0.1864273456791095,0.9965251646528535,0.051046474579165,1.0,0.06524806007733863,3.0,0.05696971311282932,1.0000000000000004,0.13049612015467732,4,multi_facet_clast_5
15,course_block_clast,1107192245,0.0005030720543329902,0.03282204956030181,0.11589623043623404,0.09083491557725101,0.1005718650163106,1.1523722903760227,1.1071939064090257,0.931977060516177,0.05645926620270254,0.23236686364813597,0.12283512119779383,0.4751509058992905,1.3165743917037298,1.3079873412657745,11.0,0.056863170580159245,0.17015101469566102,0.9975920909771172,0.050697276997206595,1.0,0.056863170580159245,3.0,0.055388547291005216,1.0,0.11372634116031849,7,multi_facet_clast_8
16,compact_block_clast,1662221874,0.00038911149114396386,0.027669693845883,0.0947935606294689,0.10100971381288243,0.0866307936971359,1.0655756903964326,1.0942247737088766,0.9315277742428092,0.06898732571177325,0.23182907570847705,0.11976496760218258,0.46909390049271266,1.1884836149867397,1.0116898769743061,12.0,0.05710005666823993,0.1688488039084951,0.9984670100776037,0.050451113167966355,1.0,0.05710005666823993,2.0,0.05199777425309103,1.0000000000000002,0.09516676111373323,5,multi_facet_clast_6
17,wall_block_clast,690710983,0.0005231465580808814,0.03409642312747194,0.12367287444123617,0.09715741151283397,0.09724995005910647,1.2717011614511926,1.0009524599804749,0.9208542231258282,0.10072463916576889,0.23244149673949382,0.13000018194648044,0.44769639232636155,1.1732832065894934,1.3601810510102916,13.0,0.06246848307328671,0.1818389699244378,0.9959737365744162,0.051180028945145,1.0,0.06246848307328671,5.0,0.061613831980946526,0.9999999999999998,0.12493696614657339,7,multi_facet_clast_8
18,tie_bridge_clast,691201962,0.000389247375355401,0.027938326132311297,0.11088414581835276,0.08749475085232222,0.09218634953111263,1.2028260841474114,1.053621487381673,0.9227857308845759,0.09119796743778337,0.23272114666049826,0.13000000128035416,0.4352187737627012,1.2321765684803136,1.0120431759240427,11.0,0.06670303114923654,0.19030468323684008,0.9943542219904434,0.05164806137780423,1.0,0.06670303114923654,3.0,0.05580632522471158,1.0,0.13340606229847307,0,multi_facet_clast
19,course_block_clast,944076855,0.0006153817555182578,0.037427048867772386,0.11855857994864674,0.10593406981399858,0.10496963222771463,1.1191732759518684,1.0091877771295965,0.9348206224670479,0.05111322171836827,0.23211420023939552,0.11924237672017624,0.4667800588759556,1.065539563303472,1.5999925643474702,10.0,0.05706147874057653,0.1696065241447277,0.9982588077318061,0.050513922086166056,1.0,0.05706147874057653,2.0,0.055239561119919976,1.0,0.09510246456762754,5,multi_facet_clast_6
20,interlock_block_clast,578064333,0.0004092919029928871,0.028918282747537397,0.11513220528270593,0.09537906373315186,0.08194099509517871,1.2071014410963259,1.1639968934031633,0.9218644343848946,0.09581555233294474,0.2331973670199945,0.14354783923343195,0.45486449735645107,1.5076983898703742,1.0641589477815065,9.0,0.07169912001096726,0.20197799034659364,0.9935677459560622,0.05196541273942692,1.0,0.07169912001096726,1.0,0.050158312792426295,0.9999999999999999,0.09559882668128966,0,multi_facet_clast
21,cap_block_clast,26024985,0.0008600069854399593,0.04710696839037407,0.14258185188104844,0.11693069969387622,0.11140480032020678,1.2193705524240148,1.049601986250023,0.9283967710148089,0.08088529031474148,0.23244699863282844,0.13000000031862813,0.4630258895136709,1.2471497722674518,2.2360181621438944,12.0,0.059234078398772635,0.17250126426147128,0.9973104273425313,0.05077176415509999,1.0,0.059234078398772635,4.0,0.05211042749535533,1.0,0.11846815679754527,7,multi_facet_clast_8
