gravity,gravity_m_s2,trial,strategy,target_name,candidate_count,effective_steps_per_rock,effective_hold_steps,rock_count,skipped_slot_count,stable_count,failure_count,success,shape_success,visible_courses,target_rmse_xy_m,target_max_xy_error_m,structure_score,stack_height_m,max_horizontal_drift_m,max_radial_distance_m,wall_x_span_m,wall_y_span_m,wall_aspect_xy,wall_outlier_count,velocity_inf_norm,assignment_gate_used,assignment_probe_steps,moon_gate_strict,candidate_pose_ranker_used,candidate_pose_top_k,stone_fit_ranker_used,stone_fit_top_k,order,xml,state_path,assignment_plan_path,assignment_plan_used,assignment_gate_requested,assignment_fallbacks_requested,assignment_probe_steps_requested,moon_gate_strict_requested,candidate_pose_ranker_dir,candidate_pose_top_k_requested,stone_fit_ranker_dir,stone_fit_top_k_requested,role_screening_path
earth,9.80665,0,statics_wall,single_face_wall_4course_v1,8,420,1800,18,6,16,2,0,0,4,0.11010872868383953,0.21155771330555162,1.6190331989572904,0.34792315867618373,0.011110879110779811,0.3663884935464011,0.7054397237325316,0.33982570761873565,2.075886867640965,1.0,0.1840313828885552,0,0,0,1,3,0,0,062 012 122 014 055 136 076 039 045 100 115 088 124 004 052 106 081 022,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_00.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_00.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260619_torch_support_map_cnn_quality_ranker_expanded_temp20_holdout93015_v1,3,,0,
earth,9.80665,1,statics_wall,single_face_wall_4course_v1,8,420,1800,20,4,14,6,0,0,4,0.18040827484980848,0.3820721765957922,0.016196509971674433,0.28667628542846535,0.19022276807664876,0.4285902737162375,0.7706016610104058,0.599513070622687,1.2853792498802685,5.0,0.3360234356918753,0,0,0,1,3,0,0,062 122 112 014 012 124 115 039 045 022 064 055 004 076 007 136 081 034 088 038,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_01.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_01.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260619_torch_support_map_cnn_quality_ranker_expanded_temp20_holdout93015_v1,3,,0,
earth,9.80665,2,statics_wall,single_face_wall_4course_v1,8,420,1800,20,4,18,2,0,0,4,0.10179529712999025,0.2508619995443343,1.537800943998337,0.3300493017642825,0.03762787604053227,0.43302234766752984,0.7654747291634256,0.3900160543593235,1.9626749222435607,1.0,0.35022247028815046,0,0,0,1,3,0,0,062 122 055 014 112 045 027 124 100 064 076 039 123 007 038 136 115 052 106 081,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_02.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_02.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260619_torch_support_map_cnn_quality_ranker_expanded_temp20_holdout93015_v1,3,,0,
earth,9.80665,3,statics_wall,single_face_wall_4course_v1,8,420,1800,17,7,14,3,0,0,4,0.12133071175056681,0.22342389663841572,1.4186404270813733,0.31302475460407875,0.11280531339678548,0.44969056466875607,0.7100043490906727,0.3551334678315058,1.9992605975045317,1.0,0.20179424097768126,0,0,0,1,3,0,0,062 122 076 014 036 045 124 039 055 064 100 027 038 004 081 112 034,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_03.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_03.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260619_torch_support_map_cnn_quality_ranker_expanded_temp20_holdout93015_v1,3,,0,
moon,1.624,0,statics_wall,single_face_wall_4course_v1,8,1008,4320,16,8,9,7,0,0,4,0.20253005265825913,0.5124332419626304,-0.4579914326571985,0.2334052820734373,0.543226328137201,0.6441655339087239,0.8794317895986553,0.6615499671254728,1.329350515154448,5.0,0.027711645407363844,0,0,0,1,3,0,0,038 122 055 036 014 045 112 027 100 064 004 123 081 124 136 106,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\mjcf\single_face_wall_4course_v1_statics_wall_moon_trial_00.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\states\single_face_wall_4course_v1_statics_wall_moon_trial_00.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260619_torch_support_map_cnn_quality_ranker_expanded_temp20_holdout93015_v1,3,,0,
moon,1.624,1,statics_wall,single_face_wall_4course_v1,8,1008,4320,11,13,9,2,0,0,4,0.15878203472938346,0.41294618337031175,1.691428294591111,0.268762710237613,0.0002688303058207358,0.6821503391752759,0.8869825082587397,0.29999399494810214,2.9566675440026207,1.0,0.019277526954300378,0,0,0,1,3,0,0,112 122 055 036 027 045 064 100 115 039 124,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\mjcf\single_face_wall_4course_v1_statics_wall_moon_trial_01.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\states\single_face_wall_4course_v1_statics_wall_moon_trial_01.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260619_torch_support_map_cnn_quality_ranker_expanded_temp20_holdout93015_v1,3,,0,
moon,1.624,3,statics_wall,single_face_wall_4course_v1,8,1008,4320,10,14,9,1,0,0,4,0.1277839600399058,0.27220031179755005,2.1356169546245223,0.1879301067969947,0.0006662540696862221,0.39101693188650083,0.6663384932032858,0.19213053940175348,3.4681550120980114,0.0,0.015942703829330794,0,0,0,1,3,0,0,036 076 122 014 027 112 045 064 106 022,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\mjcf\single_face_wall_4course_v1_statics_wall_moon_trial_03.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_expanded_quality_top3_seed97002_v1\states\single_face_wall_4course_v1_statics_wall_moon_trial_03.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260619_torch_support_map_cnn_quality_ranker_expanded_temp20_holdout93015_v1,3,,0,
