cluster_label,count,source_kind_counts,mean_volume,mean_elongation,mean_flatness,mean_angularity,mean_spike_score,mean_compactness,mean_stability_score,mean_major_face_count,mean_largest_face_area_ratio,mean_support_face_area_ratio,mean_opposing_face_pair_count,mean_face_planarity,mean_support_plane_quality
multi_facet_clast,12,"{""bearing_block_clast"": 1, ""chock_clast"": 3, ""course_block_clast"": 1, ""interlock_block_clast"": 4, ""tie_bridge_clast"": 1, ""wall_block_clast"": 2}",0.0005868790975576073,1.188602829580452,1.0958555023597245,0.23217601184418893,0.13850727450448055,0.43784661557844,1.3169703432056599,9.333333333333334,0.06690849167647862,0.06690849167647862,1.6666666666666667,1.0,0.10334107584979295
multi_facet_clast_10,21,"{""bearing_block_clast"": 13, ""buttress_clast"": 7, ""interlock_block_clast"": 1}",0.0016569867423684985,1.088069585490851,1.3211975782346306,0.23201452404871745,0.1383360341787376,0.45459829250798756,1.741680726513624,8.285714285714286,0.07106400222929528,0.07106400222929528,1.6666666666666667,1.0,0.11020198673710116
multi_facet_clast_2,12,"{""bearing_block_clast"": 1, ""cap_block_clast"": 1, ""compact_block_clast"": 7, ""course_block_clast"": 2, ""equant_clast"": 1}",0.0011881940351720626,1.0468526048286872,1.0651653237491536,0.23198165405861101,0.07339750661527883,0.46996603824707167,1.1124320612382608,9.166666666666666,0.0600602812772258,0.0600602812772258,1.1666666666666667,1.0,0.08297286488048625
multi_facet_clast_3,14,"{""bearing_block_clast"": 1, ""buttress_clast"": 2, ""cap_block_clast"": 1, ""course_block_clast"": 7, ""equant_clast"": 3}",0.0016489581072644968,1.0870971767891622,1.1271227048665111,0.2319717158520986,0.12748260992725088,0.47812205022988835,1.2848693508657163,9.5,0.060765693189004134,0.060765693189004134,1.3571428571428572,1.0,0.08780099160194867
multi_facet_clast_4,8,"{""bearing_block_clast"": 2, ""buttress_clast"": 1, ""chock_clast"": 1, ""interlock_block_clast"": 2, ""tie_bridge_clast"": 2}",0.001017092733348351,1.17701346672081,1.3070262417880498,0.2315700925493313,0.1393651512357925,0.44557682468730214,1.8176420178097057,9.625,0.10950561947143317,0.13084926635865135,1.75,0.9990486137387719,0.20855273433582003
multi_facet_clast_5,8,"{""bearing_block_clast"": 1, ""cap_block_clast"": 1, ""chock_clast"": 1, ""course_block_clast"": 2, ""interlock_block_clast"": 3}",0.0004518125215414095,1.109424909643018,1.1805122813651459,0.2317243266488513,0.14000002379907345,0.4607433217850733,1.4311499220436608,10.375,0.06379258778149395,0.06379258778149395,2.25,1.0,0.10821291438501221
multi_facet_clast_6,22,"{""chock_clast"": 4, ""compact_block_clast"": 5, ""course_block_clast"": 7, ""equant_clast"": 5, ""wall_block_clast"": 1}",0.0005031815895157874,1.0843894130453167,1.0718612461188166,0.23184997365834573,0.1158890880426673,0.4646053097609698,1.16254357571343,9.636363636363637,0.060006784395811245,0.060006784395811245,1.1818181818181819,1.0,0.08325695188164894
multi_facet_clast_7,12,"{""bearing_block_clast"": 5, ""buttress_clast"": 1, ""cap_block_clast"": 2, ""tie_bridge_clast"": 1, ""wall_block_clast"": 3}",0.0018430160545375217,1.2241797717061271,1.145554432087581,0.2324596048491883,0.13250024526304044,0.455435828468356,1.472858811668413,10.5,0.06565431027808084,0.06565431027808084,3.25,1.0,0.12936957193395363
multi_facet_clast_8,19,"{""buttress_clast"": 1, ""cap_block_clast"": 6, ""chock_clast"": 2, ""course_block_clast"": 5, ""equant_clast"": 2, ""wall_block_clast"": 3}",0.0006750279175633616,1.1795033806116086,1.0620034990434284,0.23234792380962735,0.1305645003491997,0.4674763101990031,1.234420453954579,11.157894736842104,0.06081924795876505,0.06081924795876505,3.4210526315789473,1.0,0.11727937129066965
multi_facet_clast_9,12,"{""interlock_block_clast"": 1, ""tie_bridge_clast"": 8, ""wall_block_clast"": 3}",0.0012159095916053713,1.3151526264181148,1.0583130162906083,0.2334743349343116,0.13161404369377447,0.47825109999116444,1.3547448589784308,11.833333333333334,0.06827489308184469,0.06827489308184469,4.333333333333333,1.0,0.13654978616368937
