cluster_label,count,source_kind_counts,mean_volume,mean_elongation,mean_flatness,mean_angularity,mean_spike_score,mean_compactness,mean_stability_score,mean_major_face_count,mean_largest_face_area_ratio,mean_support_face_area_ratio,mean_opposing_face_pair_count,mean_face_planarity,mean_support_plane_quality
multi_facet_clast,15,"{""interlock_block_clast"": 1, ""tie_bridge_clast"": 10, ""wall_block_clast"": 4}",0.0011487204834304018,1.3572062774360467,1.0912105188935628,0.2334688239543968,0.1313378567190865,0.4796530616293887,1.4734017179719143,11.133333333333333,0.069164118732088,0.069164118732088,3.6,1.0,0.13330094262055037
multi_facet_clast_10,23,"{""bearing_block_clast"": 4, ""cap_block_clast"": 3, ""chock_clast"": 4, ""compact_block_clast"": 1, ""course_block_clast"": 6, ""equant_clast"": 2, ""interlock_block_clast"": 3}",0.0008120336683843222,1.0996113804856724,1.0938895176284142,0.23184120370349898,0.13573065092142486,0.4525864095706406,1.224155925216499,10.217391304347826,0.06306507656895173,0.06306507656895173,2.260869565217391,0.9999682028004099,0.10734066716970682
multi_facet_clast_2,1,"{""chock_clast"": 1}",0.00031470430538398943,1.1028463612802468,1.3700623107379932,0.23115638791714904,0.14000000913997535,0.45633084364372944,1.8764463463948458,8.0,0.06250660962004213,0.06250660962004213,0.0,0.9999999999999999,0.06250660962004212
multi_facet_clast_3,4,"{""bearing_block_clast"": 1, ""buttress_clast"": 2, ""interlock_block_clast"": 1}",0.0015368252438301624,1.1523575288997043,1.4299822875639214,0.23127060662144777,0.14750239705014973,0.4208161064067344,2.1012999276992854,7.75,0.10263167260564607,0.1645658761033259,2.75,0.998973508715596,0.30667806609700826
multi_facet_clast_4,10,"{""cap_block_clast"": 2, ""chock_clast"": 1, ""compact_block_clast"": 1, ""course_block_clast"": 2, ""equant_clast"": 4}",0.0005501219805015562,1.073474177899033,1.0693152181602363,0.2320657168627907,0.10111921841163243,0.47506936124694626,1.1444439913798716,9.7,0.05745741077406097,0.05745741077406097,1.4,1.0,0.08218056128873953
multi_facet_clast_5,25,"{""bearing_block_clast"": 3, ""compact_block_clast"": 10, ""course_block_clast"": 9, ""equant_clast"": 3}",0.0014165991621781144,1.0720748635137454,1.0817067211150222,0.23188020717798902,0.12170809176632659,0.46731195415051113,1.1718745798110597,10.56,0.05991437540402932,0.05991437540402932,1.96,0.9999644639621866,0.09773505466443343
multi_facet_clast_6,18,"{""bearing_block_clast"": 1, ""cap_block_clast"": 1, ""chock_clast"": 2, ""course_block_clast"": 3, ""equant_clast"": 1, ""interlock_block_clast"": 1, ""tie_bridge_clast"": 2, ""wall_block_clast"": 7}",0.0005014251849979243,1.2409391717150289,1.075918185950636,0.23227771952643073,0.13387029054414637,0.46487184198129483,1.3259902270982968,10.61111111111111,0.06220434942175776,0.06220434942175776,3.111111111111111,1.0,0.11596667647380007
multi_facet_clast_7,11,"{""bearing_block_clast"": 1, ""buttress_clast"": 1, ""cap_block_clast"": 1, ""chock_clast"": 3, ""course_block_clast"": 2, ""equant_clast"": 1, ""interlock_block_clast"": 2}",0.0007958787105737754,1.1080652673362992,1.1114683518846933,0.2314317198539116,0.13472681199757383,0.43840120995363213,1.2745094324784207,8.0,0.06668697229973976,0.06668697229973976,0.0,0.9999456883118505,0.06668267305565126
multi_facet_clast_8,16,"{""bearing_block_clast"": 5, ""buttress_clast"": 2, ""cap_block_clast"": 4, ""course_block_clast"": 2, ""interlock_block_clast"": 2, ""wall_block_clast"": 1}",0.0013498232557300981,1.235268537369811,1.0835498899054932,0.23255516302547627,0.13812537163707803,0.4618586019222817,1.3419352633159047,10.625,0.06537231893198425,0.06537231893198425,3.375,1.0,0.12668119532399316
multi_facet_clast_9,17,"{""bearing_block_clast"": 9, ""buttress_clast"": 7, ""interlock_block_clast"": 1}",0.0015781526166040649,1.10024675039768,1.3982600307974673,0.23189455761387182,0.1428791159014154,0.45282386614045095,1.9473730412730816,8.705882352941176,0.07257063519308825,0.07257063519308825,2.0,0.999946892054534,0.12046524355511042
