gravity,trial,strategy,target_name,rock_index,slot_id,course,role,cluster_label,source_kind,failure_reason,target_error_xy_m,horizontal_drift_m,final_x,final_y,final_z,volume,roughness,angularity,spike_score,flatness,elongation,stability_score
earth,0,statics_wall,single_face_wall_4course_v1,112,8,1,middle,multi_facet_clast_4,compact_block_clast,missed_target,0.2697282203877181,0.0,-0.010902800260267177,-0.20652066514140394,0.053294506005083314,0.0008921010804182369,0.048651363054379344,0.2320962339008699,0.05943161226416627,1.0147414841655202,1.0914767423750222,1.050834274852601
earth,0,statics_wall,single_face_wall_4course_v1,64,15,2,middle,multi_facet_clast_5,compact_block_clast,missed_target,0.20880125988893955,0.0012294166231495195,0.053199203706953566,0.17009459054364506,0.05741733840186722,0.0009787700570782298,0.0711082946589457,0.2316566540691426,0.11267568514001125,1.0529844441289997,1.0524852395534978,1.0893892128032554
earth,0,statics_wall,single_face_wall_4course_v1,118,19,3,cap,multi_facet_clast_4,equant_clast,missed_target,0.5183154398180391,0.0,0.21532269877576773,-0.2548699996537941,0.04100048579192532,0.0004286583748421354,0.07475819161051643,0.23155384186113542,0.08344939171805899,1.0748261959006693,1.0158210870374655,1.0928288050655988
earth,1,statics_wall,single_face_wall_4course_v1,63,8,1,middle,multi_facet_clast_10,course_block_clast,missed_target+post_hold_drift,0.2191119043746053,0.1858001447264283,-0.05858077679370326,-0.1783554019113176,0.058769319927527146,0.0008128613342791546,0.054736902020995834,0.23236512036835605,0.13000000003839962,1.0969887307290387,1.0925565243024706,1.2262797657294475
earth,1,statics_wall,single_face_wall_4course_v1,87,17,2,middle,multi_facet_clast_4,course_block_clast,missed_target+post_hold_drift,0.21323266825184395,0.19819411338841617,0.09312236584019684,-0.20204263132684985,0.045142669473233976,0.000670613556959643,0.05760630264610649,0.23212486879613248,0.09539812932995728,1.0490718750982793,1.0767836980643006,1.1055514580895767
earth,1,statics_wall,single_face_wall_4course_v1,102,19,3,cap,multi_facet_clast,tie_bridge_clast,missed_target,0.30333141942184605,0.09867127634681593,0.05640259373186056,-0.08068874263087984,0.05258987989269639,0.0007229870033712278,0.08616265282835577,0.2343147848478442,0.13000558237932358,1.2096452672745812,1.2432084590148458,1.6613780443996218
earth,1,statics_wall,single_face_wall_4course_v1,66,21,3,cap,multi_facet_clast_6,tie_bridge_clast,unstable_structure,0.19569205954789737,0.1493887124029881,0.12026028353713235,0.1543789052094435,0.041153793493857546,0.0005193316921455753,0.13162294104700736,0.23263393307689728,0.13000000279183355,1.1223026763939643,1.3441324466392688,1.5420865924338667
earth,2,statics_wall,single_face_wall_4course_v1,139,15,2,middle,multi_facet_clast_10,course_block_clast,missed_target,0.22578812325204503,0.0,-0.08641474533214043,-0.23011762166339034,0.04913670038445804,0.0007617427972636703,0.0679633838162367,0.23206070573309187,0.12715467765359878,1.0145235988476713,1.1758210832138467,1.1258908172633477
earth,3,statics_wall,single_face_wall_4course_v1,63,16,2,middle,multi_facet_clast_10,course_block_clast,missed_target,0.22133833177875456,0.003464668013233539,0.03256982368705445,0.2137546424871808,0.05138371928313725,0.0008128613342791546,0.054736902020995834,0.23236512036835605,0.13000000003839962,1.0969887307290387,1.0925565243024706,1.2262797657294475
earth,3,statics_wall,single_face_wall_4course_v1,87,18,2,middle,multi_facet_clast_4,course_block_clast,missed_target,0.278161453414901,0.0,0.21083133267253365,0.2591215374242697,0.050335333263530575,0.000670613556959643,0.05760630264610649,0.23212486879613248,0.09539812932995728,1.0490718750982793,1.0767836980643006,1.1055514580895767
earth,3,statics_wall,single_face_wall_4course_v1,102,19,3,cap,multi_facet_clast,tie_bridge_clast,unstable_structure,0.19367904806763572,0.001754005848865398,-0.04232562009721818,-0.0013447043015078813,0.11942144981370303,0.0007229870033712278,0.08616265282835577,0.2343147848478442,0.13000558237932358,1.2096452672745812,1.2432084590148458,1.6613780443996218
earth,4,statics_wall,single_face_wall_4course_v1,139,8,1,middle,multi_facet_clast_10,course_block_clast,missed_target,0.2826415339626466,0.0010941536686971487,0.08641007600327157,0.1084761854320729,0.05533665650333022,0.0007617427972636703,0.0679633838162367,0.23206070573309187,0.12715467765359878,1.0145235988476713,1.1758210832138467,1.1258908172633477
earth,4,statics_wall,single_face_wall_4course_v1,19,17,2,middle,multi_facet_clast_4,course_block_clast,missed_target+post_hold_drift,0.23307723487961038,0.21703195773039363,0.21050249735695617,-0.2366568448799476,0.0445081483893295,0.0004393507682661253,0.044554338659047385,0.23222055209823406,0.07515682787356304,1.0648295309405673,1.0702884328098683,1.135585375955446
earth,4,statics_wall,single_face_wall_4course_v1,45,22,3,cap,multi_facet_clast_6,cap_block_clast,post_hold_drift,0.19432573411116555,0.18490488072536362,0.038809081789421856,-0.1774578524912576,0.040518480785822646,0.0005489263327788632,0.10447863673270223,0.2319906168390247,0.13000000493552855,1.2284491982656234,1.158004294999454,1.6100460400104093
earth,5,statics_wall,single_face_wall_4course_v1,4,10,1,middle,multi_facet_clast_5,compact_block_clast,missed_target,0.20762229326582246,0.0018371819870171933,0.26612464808133085,0.02036651725868268,0.09445041454789486,0.0011036366988607007,0.03938812566229738,0.2321889702211369,0.10277530820195557,1.0194512259171227,1.068836976016792,1.0403594684244777
earth,5,statics_wall,single_face_wall_4course_v1,3,13,2,middle,multi_facet_clast_5,course_block_clast,missed_target+post_hold_drift,0.28407271483784674,0.2848812478963115,-0.4427333243882081,-0.24863588395073194,0.05802251238359021,0.0010664776801094945,0.08121900088426202,0.23187156159764397,0.13000000389516142,1.1382806358216846,1.1096632988822641,1.3362426182414924
earth,5,statics_wall,single_face_wall_4course_v1,135,14,2,middle,multi_facet_clast_6,course_block_clast,missed_target+post_hold_drift,0.23886578041018958,0.19491697574640365,-0.06682904319158209,0.20594155167613223,0.07079991617922847,0.0007055837143937381,0.06953076231642678,0.23220093695472335,0.13000000391709654,1.0259552949995565,1.2109177255564205,1.1855125956045895
earth,5,statics_wall,single_face_wall_4course_v1,79,16,2,middle,multi_facet_clast_5,course_block_clast,post_hold_drift,0.19115423427621747,0.16090136060677082,0.13263108455479605,0.17040409481928562,0.07009465694025965,0.00148925916600154,0.0591845270908476,0.23170671635584097,0.08329389044300028,1.0045037821859404,1.000281625060089,0.9432681112970533
earth,5,statics_wall,single_face_wall_4course_v1,118,19,3,cap,multi_facet_clast_4,equant_clast,missed_target+post_hold_drift,0.25950700710122715,0.21182414659036028,-0.23704713727704266,0.25950489443969915,0.04228475586247492,0.0004286583748421354,0.07475819161051643,0.23155384186113542,0.08344939171805899,1.0748261959006693,1.0158210870374655,1.0928288050655988
earth,5,statics_wall,single_face_wall_4course_v1,129,20,3,cap,multi_facet_clast_4,cap_block_clast,missed_target,0.31859765154865577,0.016891375985839698,-0.08031781770263854,0.3163613704446659,0.046079556183246224,0.000565153110905892,0.06387639009849973,0.23223560431031062,0.13000000041431714,1.0192059071562058,1.2049788635306637,1.1670349204452914
earth,5,statics_wall,single_face_wall_4course_v1,34,22,3,cap,multi_facet_clast_4,equant_clast,missed_target+post_hold_drift,0.2715813668765524,0.2531251551972473,0.053374000162770226,0.2637800579641587,0.05237115793697856,0.0006703872654741001,0.04880989600200301,0.2319695795980316,0.08961884895949224,1.0573002551948758,1.0271923098804532,1.0744775503672268
earth,6,statics_wall,single_face_wall_4course_v1,84,5,0,base,multi_facet_clast_10,bearing_block_clast,missed_target,0.21222411457092605,0.0016732048204565436,0.4462433432272648,0.02892769320281297,0.05126148371133383,0.0009264655206635382,0.07723890620920795,0.2321511517693922,0.12456332522323166,1.171197251850745,1.0551579674457083,1.341893828449586
earth,6,statics_wall,single_face_wall_4course_v1,115,9,1,middle,multi_facet_clast_5,course_block_clast,missed_target,0.26091674345088045,0.0,0.14287105699319008,0.1713046380518852,0.06969184635323067,0.0017152125409086159,0.07702288890780852,0.23195291511195446,0.09637843456600459,1.135374080756461,1.1447470159685555,1.3730784396982727
earth,6,statics_wall,single_face_wall_4course_v1,15,13,2,middle,multi_facet_clast_10,course_block_clast,missed_target,0.22645364420629605,0.0020101776144754897,-0.2394695026638959,-0.22553955643554682,0.05078934139385761,0.0007922388930367791,0.0888225656285356,0.23185957633378734,0.13000000162398373,1.091852195131303,1.1476209305384817,1.2676117468040249
earth,6,statics_wall,single_face_wall_4course_v1,99,17,2,middle,multi_facet_clast_10,course_block_clast,missed_target,0.30439168678815404,0.0,0.16941055316147538,-0.3102970576302421,0.05954161358184135,0.0009049156190485028,0.07596574584803494,0.23181898262578207,0.1300000116564417,1.1767827307621739,1.0202421889962292,1.313038206725677
earth,6,statics_wall,single_face_wall_4course_v1,129,19,3,cap,multi_facet_clast_4,cap_block_clast,missed_target,0.32853688105095624,0.0,-0.355395691473259,-0.3060737673638702,0.04591609780653827,0.000565153110905892,0.06387639009849973,0.23223560431031062,0.13000000041431714,1.0192059071562058,1.2049788635306637,1.1670349204452914
earth,6,statics_wall,single_face_wall_4course_v1,34,21,3,cap,multi_facet_clast_4,equant_clast,missed_target+post_hold_drift,0.3034584144712629,0.2369724425413906,0.2535430186696673,-0.1667421572287151,0.04804040578819646,0.0006703872654741001,0.04880989600200301,0.2319695795980316,0.08961884895949224,1.0573002551948758,1.0271923098804532,1.0744775503672268
earth,7,statics_wall,single_face_wall_4course_v1,87,13,2,middle,multi_facet_clast_4,course_block_clast,missed_target,0.467798947543153,0.0,-0.11453513358811268,-0.4375880991332144,0.050972529585712655,0.000670613556959643,0.05760630264610649,0.23212486879613248,0.09539812932995728,1.0490718750982793,1.0767836980643006,1.1055514580895767
earth,7,statics_wall,single_face_wall_4course_v1,63,16,2,middle,multi_facet_clast_10,course_block_clast,missed_target+post_hold_drift,0.3041433117143907,0.16693526338295012,0.28871852670620707,0.19333025999212128,0.05346349637775971,0.0008128613342791546,0.054736902020995834,0.23236512036835605,0.13000000003839962,1.0969887307290387,1.0925565243024706,1.2262797657294475
earth,7,statics_wall,single_face_wall_4course_v1,129,21,3,cap,multi_facet_clast_4,cap_block_clast,missed_target+post_hold_drift,0.30492800947460424,0.301515097261133,0.08838440709175692,-0.2918377760763382,0.04556162601444414,0.000565153110905892,0.06387639009849973,0.23223560431031062,0.13000000041431714,1.0192059071562058,1.2049788635306637,1.1670349204452914
