model_name,metrics_path,output_dir,dataset_dir,created_at,row_count,train_rows,test_rows,epochs,batch_size,hidden,purpose,input_policy,test_accuracy,test_precision,test_recall,test_f1,top1_hit_rate,top3_hit_rate,top1_safe_rate,top3_safe_rate,top1_success_rate,top3_success_rate
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_learning_dataset,2026-06-24T20:35:47,6498,5808,690,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.6275362318840579,0.08949416342412451,0.5,0.15181518151815182,0.32558139534883723,0.4186046511627907,,,,
20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_pose_ranker_structure,,2026-06-24T20:36:44,2614,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_wall_state_critic,,2026-06-24T20:37:03,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_learning_dataset,2026-06-25T01:53:46,6498,5568,930,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.6645161290322581,0.0761904761904762,0.5333333333333333,0.13333333333333333,0.0975609756097561,0.34146341463414637,,,,
20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_pose_ranker_structure,,2026-06-25T01:54:39,2599,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_wall_state_critic,,2026-06-25T01:55:00,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_learning_dataset,2026-06-25T07:05:16,6498,4050,2448,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.7148692810457516,0.09442724458204334,0.3505747126436782,0.14878048780487804,0.2727272727272727,0.4090909090909091,,,,
20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_pose_ranker_structure,,2026-06-25T07:06:20,2649,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_wall_state_critic,,2026-06-25T07:06:42,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
20260625_supportmap_c17_c19_multi_tensor_smoke,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c17_c19_multi_tensor_smoke\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c17_c19_multi_tensor_smoke,,2026-06-25T09:08:07,7862,,,1,96,192,,,,,,,,,,,,
