criterion,label,enabled_trials,disabled_trials,enabled_strict_success_rate,disabled_strict_success_rate,delta_strict_success_rate,enabled_shape_success_rate,disabled_shape_success_rate,delta_shape_success_rate,enabled_stable_fraction,disabled_stable_fraction,delta_stable_fraction,enabled_mean_drift_m,disabled_mean_drift_m,interpretation
candidate_probe_hard_gate,candidate hard gate,4,175,0.0,0.15428571428571428,-0.15428571428571428,0.0,0.18857142857142858,-0.18857142857142858,0.8,0.7713869676010193,0.02861303239898072,0.4145465139832082,0.21191830396418673,possibly_harmful_observational
low_release_search_requested,low release search,23,16,0.043478260869565216,0.1875,-0.14402173913043478,0.08695652173913043,0.1875,-0.10054347826086957,0.7739130434782608,0.7661290322580645,0.007784011220196341,0.21974320444390444,0.22037529075631473,possibly_harmful_observational
moon_gate_strict,moon strict gate,31,468,0.0,0.10683760683760683,-0.10683760683760683,0.0,0.13247863247863248,-0.13247863247863248,0.8919753086419753,0.7414141414141414,0.15056116722783386,0.0830475851700391,0.23108493108161127,stability_only_gain
stone_fit_ranker_used,StoneSlotNet,316,177,0.12974683544303797,0.05084745762711865,0.07889937781591932,0.16139240506329114,0.062146892655367235,0.0992455124079239,0.7382088982241741,0.7787685774946922,-0.04055967927051807,0.24701487803300565,0.1767448602096985,mixed_or_unclear
pose_risk_ranker_used,PoseRiskNet,278,13,0.14388489208633093,0.07692307692307693,0.066961815163254,0.17266187050359713,0.07692307692307693,0.0957387935805202,0.7399150743099787,0.5178571428571429,0.2220579314528358,0.24611864568117175,0.5797988890587787,promising_observational
candidate_pose_ranker_used,SupportMap / pose ranker,428,69,0.10747663551401869,0.057971014492753624,0.049505621021265066,0.13551401869158877,0.057971014492753624,0.07754300419883514,0.7554624363962885,0.7029126213592233,0.05254981503706524,0.2096024232486129,0.296884108105518,mixed_or_unclear
base_continuity_prior,base continuity prior,3,6,0.0,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,0.7551020408163265,0.7790697674418605,-0.023967726625534036,0.24542019324459075,0.1409187729070622,mixed_or_unclear
base_support_prior,base support prior,4,7,0.0,0.0,0.0,0.0,0.14285714285714285,-0.14285714285714285,0.7580645161290323,0.79,-0.031935483870967785,0.23965311081823523,0.15636526651461766,mixed_or_unclear
