epoch,train_loss,test_top1,test_top3,lr
1,1.135023264323964,0.35213032581453635,0.9736842105263158,0.0009993147673772868
2,1.1301479970707613,0.34461152882205515,0.9724310776942355,0.0009972609476841365
3,1.1295889125150793,0.39724310776942356,0.9761904761904762,0.0009938441702975688
4,1.1259127644931568,0.42355889724310775,0.9824561403508771,0.0009890738003669028
5,1.1237137037165024,0.42105263157894735,0.9849624060150376,0.0009829629131445341
6,1.1233358523424934,0.42105263157894735,0.9849624060150376,0.0009755282581475769
7,1.121404328766991,0.41854636591478694,0.9837092731829574,0.0009667902132486009
8,1.1196322160608627,0.44110275689223055,0.9862155388471178,0.0009567727288213005
9,1.122717699583839,0.4197994987468672,0.9849624060150376,0.0009455032620941839
10,1.11931290696649,0.4348370927318296,0.9862155388471178,0.0009330127018922195
11,1.1196735361043144,0.41854636591478694,0.9874686716791979,0.0009193352839727121
12,1.1182410085902494,0.4223057644110276,0.9874686716791979,0.0009045084971874737
13,1.1181746265467476,0.4323308270676692,0.9862155388471178,0.0008885729807284855
14,1.1169318521724028,0.43859649122807015,0.9862155388471178,0.0008715724127386972
15,1.1155791422900032,0.4223057644110276,0.9837092731829574,0.0008535533905932739
16,1.1147642170681673,0.43609022556390975,0.9887218045112782,0.0008345653031794292
17,1.1165745188208187,0.43107769423558895,0.9849624060150376,0.0008146601955249188
18,1.1129032688982345,0.40977443609022557,0.9887218045112782,0.0007938926261462366
19,1.113517133628621,0.40100250626566414,0.9887218045112782,0.0007723195175075136
20,1.1125275738099043,0.41729323308270677,0.9837092731829574,0.00075
21,1.111808468313778,0.39724310776942356,0.9862155388471178,0.0007269952498697733
22,1.1099825185887955,0.41228070175438597,0.9874686716791979,0.0007033683215379002
23,1.110051947481492,0.39598997493734334,0.9862155388471178,0.0006791839747726503
24,1.1083739715463974,0.41604010025062654,0.9874686716791979,0.0006545084971874737
25,1.1078499415341545,0.39724310776942356,0.9887218045112782,0.0006294095225512603
26,1.105812034186195,0.4197994987468672,0.9874686716791979,0.0006039558454088795
27,1.1023054122924805,0.41353383458646614,0.9899749373433584,0.0005782172325201154
28,1.1009391616372501,0.40601503759398494,0.9824561403508771,0.0005522642316338267
29,1.0998959786751692,0.40601503759398494,0.9874686716791979,0.0005261679781214719
30,1.0972618635962992,0.39223057644110276,0.9874686716791979,0.0005000000000000001
31,1.0928752562578987,0.39724310776942356,0.9849624060150376,0.00047383202187852816
32,1.0932836111854105,0.38972431077694236,0.9849624060150376,0.00044773576836617336
33,1.0851408523671768,0.40476190476190477,0.9874686716791979,0.0004217827674798846
34,1.0865188977297615,0.40225563909774437,0.9862155388471178,0.00039604415459112036
35,1.0800679992226994,0.40726817042606517,0.9874686716791979,0.00037059047744873974
36,1.0783960643936605,0.41478696741854637,0.9862155388471178,0.0003454915028125264
37,1.0751270160955542,0.38471177944862156,0.9824561403508771,0.0003208160252273499
38,1.072864013559678,0.39974937343358397,0.9874686716791979,0.0002966316784621
39,1.070674380835365,0.39348370927318294,0.9837092731829574,0.0002730047501302267
40,1.0670250023112577,0.39724310776942356,0.9862155388471178,0.00025000000000000017
41,1.0649460273630478,0.40350877192982454,0.9874686716791979,0.00022768048249248665
42,1.0639761475955738,0.39849624060150374,0.9862155388471178,0.00020610737385376354
43,1.058800336192636,0.40726817042606517,0.9849624060150376,0.0001853398044750814
44,1.0605267391485327,0.40100250626566414,0.981203007518797,0.0001654346968205711
45,1.0595187457168804,0.39724310776942356,0.9837092731829574,0.0001464466094067263
46,1.057127735194038,0.39097744360902253,0.9837092731829574,0.00012842758726130298
47,1.052157642210231,0.40100250626566414,0.9849624060150376,0.00011142701927151459
48,1.0506757567910587,0.40977443609022557,0.9837092731829574,9.549150281252635e-05
49,1.0503335489946253,0.40476190476190477,0.9824561403508771,8.066471602728805e-05
50,1.0469640142777388,0.39598997493734334,0.9824561403508771,6.698729810778066e-05
51,1.0477342500406153,0.39473684210526316,0.9824561403508771,5.449673790581612e-05
52,1.0448721331708573,0.39598997493734334,0.9799498746867168,4.322727117869952e-05
53,1.0453644640305464,0.40100250626566414,0.981203007518797,3.3209786751399136e-05
54,1.045234674916548,0.39724310776942356,0.9837092731829574,2.4471741852423238e-05
55,1.0462484938256882,0.39598997493734334,0.9824561403508771,1.7037086855465846e-05
56,1.0429343774038202,0.39348370927318294,0.9824561403508771,1.0926199633097158e-05
57,1.0432933989693136,0.39223057644110276,0.9824561403508771,6.155829702431172e-06
58,1.0432943754336412,0.39097744360902253,0.9824561403508771,2.7390523158633003e-06
59,1.042039674871108,0.39223057644110276,0.981203007518797,6.852326227130837e-07
60,1.0439600208226372,0.39097744360902253,0.981203007518797,0.0
