index,source_kind,seed,volume,surface_area,bbox_x,bbox_y,bbox_z,elongation,flatness,sphericity,roughness,angularity,spike_score,compactness,stability_score,mass,major_face_count,largest_face_area_ratio,top3_face_area_ratio,face_area_entropy,normal_concentration,support_face_count,support_face_area_ratio,opposing_face_pair_count,opposing_face_area_ratio,face_planarity,support_plane_quality,cluster_id,cluster_label
0,bearing_block_clast,677927488,0.0027789342070444695,0.10332128173500468,0.2070857992895267,0.18214577847883898,0.15682052706560706,1.136923408376358,1.1614919416935572,0.9251521927936011,0.0879031763125959,0.23216780523911132,0.14000000084448905,0.4697923350748168,1.4189816948498541,7.22522893831562,10.0,0.06187308701825362,0.17994841143336954,0.99662550726852,0.05099596702797815,1.0,0.06187308701825362,2.0,0.05751812452888923,1.0000000000000004,0.10312181169708941,4,multi_facet_clast_5
1,buttress_clast,601482897,0.0011932570808261672,0.05945643470759997,0.1618514594925809,0.14672586676033292,0.11178111846996917,1.1030874314544323,1.3126176296021936,0.9150425187719432,0.10431488491552625,0.23239546162690486,0.13793922574024164,0.4495130098428488,1.7391125005507926,3.1024684101480346,9.0,0.07476439840116865,0.19731978973523834,0.9949070614173037,0.051579140895307615,1.0,0.07476439840116865,2.0,0.052729567311304425,1.0000000000000002,0.12460733066861443,7,multi_facet_clast_8
2,bearing_block_clast,1555150960,0.0017867084317622919,0.07844607783550375,0.1960162247762275,0.1679873179099346,0.11925399567955922,1.1668513267252736,1.4086514833542683,0.9077132631896929,0.13601477984168386,0.23222371779030712,0.1400000065955045,0.45500087404297374,2.1017028804804774,4.645441922581959,13.0,0.06549417200210073,0.18711436946636095,0.9943522375609272,0.051622016368173776,1.0,0.06549417200210073,4.0,0.05646170580385813,1.0000000000000004,0.1309883440042015,4,multi_facet_clast_5
3,course_block_clast,1786096731,0.0005682096875455113,0.035608917292770784,0.11323998493430999,0.10848435223228706,0.09220396541049919,1.0438370382840114,1.1765692695461234,0.9316750058641466,0.06463177006279097,0.2321615459435279,0.12509488286659587,0.501639968228669,1.3462699423051798,1.4773451876183292,10.0,0.05479962055333507,0.16253250769553854,0.9993637035247473,0.05018952240333861,1.0,0.05479962055333507,2.0,0.05362521625334374,1.0,0.09133270092222512,9,multi_facet_clast_10
4,compact_block_clast,1421662807,0.0017466833655386074,0.07501906522636231,0.15236974122258973,0.1602140413660611,0.1540490255436347,1.0400198300552064,1.011021114215793,0.9349504586859843,0.05151080292935135,0.23196091109096498,0.11447689881521761,0.46446813378998936,0.9939182615834938,4.541376750400379,9.0,0.05841104109868506,0.170073838633793,0.9990367156925501,0.05029216861602558,1.0,0.05841104109868506,2.0,0.05055488172189748,1.0,0.09735173516447508,8,multi_facet_clast_9
5,wall_block_clast,1218143741,0.0007937601902953985,0.04491663921660449,0.13964330443165696,0.09755762924283795,0.11515992555521572,1.2126032884998887,1.1804297259885497,0.9230029306471735,0.06609389616945566,0.2332512916133228,0.13000165419078158,0.505948815240757,1.559560032037969,2.063776494768036,11.0,0.0690361832152818,0.19898224423554103,0.992512157108064,0.052191648541276,1.0,0.0690361832152818,3.0,0.06138117711279867,1.0000000000000002,0.13807236643056361,5,multi_facet_clast_6
6,tie_bridge_clast,162808721,0.00046337675456725416,0.032134362650694984,0.13205760458663332,0.08741733812196142,0.08908137118929652,1.4824379421148894,1.0190355037465622,0.9011641981720775,0.13752146791894934,0.2348646343705817,0.13000000036564763,0.45059498819537624,1.3872638909049675,1.204779561874861,12.0,0.11150694966097521,0.24581869938778073,0.979787648684077,0.05926268865436107,1.0,0.11150694966097521,5.0,0.06551035105025106,0.9994575449023332,0.2228929242954127,3,multi_facet_clast_4
7,course_block_clast,289878558,0.001628006597155063,0.07241168933508467,0.17290999001384316,0.15108139644673876,0.12888729670909033,1.144482339192567,1.1721977285918443,0.9242289158644071,0.09597687572081526,0.23168888235291932,0.13000000055508187,0.4835205865645488,1.453417544299919,4.232817152603164,10.0,0.05690555710298411,0.1685732913093012,0.9990232302290349,0.05029283226500783,1.0,0.05690555710298411,1.0,0.05013352467408813,1.0,0.07587407613731215,8,multi_facet_clast_9
8,interlock_block_clast,862117550,0.0008204200934735337,0.04643894616186124,0.15000294671185935,0.11270609802858736,0.11154058518784239,1.3309213018253176,1.0104492265194966,0.9126255594993009,0.13861323583568597,0.23074292509332806,0.15000001118221995,0.43506702167098643,1.2401493655141846,2.1330922430311876,9.0,0.07247044493266745,0.20034292290868544,0.992918634033028,0.05213906681701642,1.0,0.07247044493266745,0.0,0.0,1.0,0.07247044493266745,7,multi_facet_clast_8
9,cap_block_clast,299290005,0.00039530671216752927,0.027920174403532755,0.09997014011803138,0.09505013978573146,0.0854597561340753,1.051762157776842,1.1122210510010124,0.9329437438649101,0.06457760874239489,0.2319195578631304,0.10388047333720385,0.48679877722403364,1.2138225993971896,1.0277974516355761,9.0,0.05709860804734337,0.16791268232143902,0.9990791058812285,0.050277280263625324,1.0,0.05709860804734337,0.0,0.0,1.0000000000000002,0.05709860804734338,9,multi_facet_clast_10
10,equant_clast,808405327,0.001737765482952152,0.07574546514639006,0.1760737176413913,0.15624951694247002,0.13143809480135632,1.1268752767166659,1.188768881492169,0.9228297752875416,0.10053226137955623,0.23131951398378742,0.0932792789969048,0.4805700417432505,1.4695768615177114,4.518190255675595,9.0,0.09914928305612154,0.21752266436902273,0.9918570535008902,0.05557081730001142,1.0,0.09914928305612154,2.0,0.06020981186915949,0.9988292370195957,0.16505533790997634,1,multi_facet_clast_2
