gravity,gravity_m_s2,trial,strategy,target_name,candidate_count,effective_steps_per_rock,effective_hold_steps,rock_count,skipped_slot_count,stable_count,failure_count,success,shape_success,visible_courses,target_rmse_xy_m,target_max_xy_error_m,structure_score,stack_height_m,max_horizontal_drift_m,max_radial_distance_m,wall_x_span_m,wall_y_span_m,wall_aspect_xy,wall_outlier_count,velocity_inf_norm,assignment_gate_used,assignment_probe_steps,moon_gate_strict,candidate_pose_ranker_used,candidate_pose_top_k,stone_fit_ranker_used,stone_fit_top_k,order,xml,state_path,assignment_plan_path,assignment_plan_used,assignment_gate_requested,assignment_fallbacks_requested,assignment_probe_steps_requested,moon_gate_strict_requested,candidate_pose_ranker_dir,candidate_pose_top_k_requested,stone_fit_ranker_dir,stone_fit_top_k_requested,role_screening_path
earth,9.80665,1,statics_wall,single_face_wall_4course_v1,8,420,1800,13,11,12,1,0,0,4,0.07293085441282599,0.19001448735949975,2.172155742092519,0.3171202912426099,0.013599422189849835,0.3687374576306609,0.6279331353877134,0.20147833478064597,3.116628574835892,0.0,0.1458804114504238,0,0,0,1,3,0,0,086 072 110 134 108 055 100 115 067 040 028 003 076,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_curriculum_ranker_top3_seed97003_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_01.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_curriculum_ranker_top3_seed97003_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_01.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_4course_curriculum_score_v1,3,,0,
earth,9.80665,0,statics_wall,single_face_wall_4course_v1,8,420,1800,19,5,13,6,0,0,4,0.2043593718266785,0.5153527563108642,0.32207722321963206,0.26536750271081044,0.3003563197648563,0.7477055674885046,1.1353413097928342,0.6319991564383429,1.796428520871921,3.0,0.13013305842325992,0,0,0,1,3,0,0,086 028 072 048 134 024 076 067 127 016 079 115 055 111 103 106 093 040 129,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_curriculum_ranker_top3_seed97003_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_00.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_curriculum_ranker_top3_seed97003_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_00.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_4course_curriculum_score_v1,3,,0,
moon,1.624,0,statics_wall,single_face_wall_4course_v1,8,1008,4320,15,9,13,2,0,0,4,4.113694376787888,15.929418406638442,-10.330691967893536,0.36391330144795836,0.0007249086957761525,15.704696702164561,15.312211457434419,4.951321233524526,3.092550601192693,1.0,0.03092470078560325,0,0,0,1,3,0,0,086 016 108 072 028 055 079 100 076 127 103 005 093 067 034,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_curriculum_ranker_top3_seed97003_v1\mjcf\single_face_wall_4course_v1_statics_wall_moon_trial_00.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_curriculum_ranker_top3_seed97003_v1\states\single_face_wall_4course_v1_statics_wall_moon_trial_00.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_4course_curriculum_score_v1,3,,0,
moon,1.624,1,statics_wall,single_face_wall_4course_v1,8,1008,4320,18,6,17,1,0,1,4,0.073939573848582,0.2066581923218756,1.7605087390100913,0.3804172906751719,0.0563231824070238,0.363186657180674,0.7220311748797461,0.2713503108045909,2.660882063259204,1.0,1.193120203861759,0,0,0,1,3,0,0,048 110 072 040 108 055 100 106 127 028 067 103 016 003 064 034 093 033,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_curriculum_ranker_top3_seed97003_v1\mjcf\single_face_wall_4course_v1_statics_wall_moon_trial_01.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_curriculum_ranker_top3_seed97003_v1\states\single_face_wall_4course_v1_statics_wall_moon_trial_01.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_4course_curriculum_score_v1,3,,0,
