settled_x,settled_y,settled_z,target_error_xy_m,target_x_error_m,target_y_error_m,radial_distance_m,support_overlap,support_contact_count,support_balance_error_m,bearing_pressure_proxy,placed_disturbance_xy_m,velocity_inf_norm_after_place,height_gain_m,candidate_id,candidate_score,placed_x,placed_y,placed_z,quat_w,quat_x,quat_y,quat_z,slot_candidate_count,stone_fit_prob,stone_fit_rank,stone_fit_top_k,stone_pool_size,stone_selection_score,gravity,trial,strategy,target_name,rock_index,slot_id,course,role,target_x,target_y,cluster_label,source_kind,best_rejected_rock_index,best_rejected_score,placement_skipped,skip_reason
-0.3623615506689391,-0.005626678910109832,0.042380347355427304,0.010078444579731092,0.008361550668939122,0.005626678910109832,0.3624052330178961,1.0,1.0,0.0,1.8825801729431115,0.0,16.799695543168323,0.09030700744644055,4,89.59408428371825,-0.3498675837406811,-0.0035130969216082553,0.05192666009101324,0.9991281651166032,0.011990113512372953,0.00047986049339428585,0.03998645498912335,8,,6,0,8,89.59408428371825,earth,1,statics_wall,single_face_wall_4course_v1,86,0,0,base,-0.354,0.0,multi_facet_clast_8,bearing_block_clast,,,,
-0.22204377439995654,0.0038464800760805054,0.048889467326683075,0.014476589445549404,0.013956225600043448,0.0038464800760805054,0.22207708832465017,1.0,1.0,0.0,1.8475087647006927,9.383928177414378e-05,1.0627661167093352,0.09722548944985775,6,4.656875590363903,-0.22087626986561937,0.0015458187502760772,0.052336022123174675,0.9237298680680254,0.016628933588845225,0.006887929820301198,0.3826214393228859,8,,7,0,8,4.656875590363903,earth,1,statics_wall,single_face_wall_4course_v1,72,1,0,base,-0.236,0.0,multi_facet_clast_8,bearing_block_clast,,,,
-0.07191236432695175,0.008448440847272993,0.05193570564631773,0.046855590004624845,0.046087635673048244,0.008448440847272993,0.07240693541258401,1.0,1.0,0.0,2.4187670677246595,7.704860089563918e-05,0.17330558110004107,0.10749756183250239,6,0.2183226804972908,-0.08734218398009387,-0.005235216644106159,0.05956185618618466,0.9237298680680254,0.016628933588845225,0.006887929820301198,0.3826214393228859,8,,6,0,8,0.2183226804972908,earth,1,statics_wall,single_face_wall_4course_v1,110,2,0,base,-0.118,0.0,multi_facet_clast_8,bearing_block_clast,,,,
0.63704118410537,-0.08372668498637982,0.04741789241843669,0.6425197491324142,0.63704118410537,0.08372668498637982,0.6425197491324142,1.0,1.0,0.0,2.6918302111228276,0.13239546516533018,2.282716271916326,0.09838493696690558,4,21.513110548796615,0.010075212651767945,0.010041574225187175,0.05496704454846889,0.9991281651166032,0.011990113512372953,0.00047986049339428585,0.03998645498912335,8,,4,0,8,23.909249459336102,earth,1,statics_wall,single_face_wall_4course_v1,-1,3,0,base,0.0,0.0,skipped,skipped,24,23.909249459336102,1,no_feasible_pose
0.12789394567849235,0.004686065498913498,0.047285635894055884,0.010947573747139823,0.00989394567849236,0.004686065498913498,0.12797976617838172,1.0,1.0,0.0,1.9498034902337786,7.527091528713695e-05,0.08347843882793497,0.09774234749338953,6,-0.6626777022214945,0.12019877522150889,-0.0029467198789633136,0.05445671159933366,0.9237298680680254,0.016628933588845225,0.006887929820301198,0.3826214393228859,8,,7,0,8,-0.6626777022214945,earth,1,statics_wall,single_face_wall_4course_v1,134,4,0,base,0.118,0.0,multi_facet_clast_8,bearing_block_clast,,,,
0.2571016624127869,-0.006341409004806873,0.04462288548370963,0.02203391986800058,0.021101662412786937,0.006341409004806873,0.25717985590552167,1.0,1.0,0.0,2.059618075965666,0.0011143813964020236,0.04186651607060347,0.09277527731761435,6,-0.7560425955301964,0.2481107765252898,-0.016843414939165822,0.05215239183390473,0.9237298680680254,0.016628933588845225,0.006887929820301198,0.3826214393228859,8,,5,0,8,-0.7560425955301964,earth,1,statics_wall,single_face_wall_4course_v1,108,5,0,base,0.236,0.0,multi_facet_clast_4,bearing_block_clast,,,,
0.8711708005160367,0.04007957864772178,0.07335649789926148,0.5187215144284814,0.5171708005160367,0.04007957864772178,0.8720922751041492,1.0,1.0,0.0,3.710106301354014,0.02331390212853712,1.2691991666481948,0.14583462957228605,5,13.205405868861295,0.3612878558707948,-0.001337085068050208,0.07647813167302457,0.9991281651166032,0.0004798604933942866,0.011990113512372953,-0.03998645498912335,8,,2,0,8,14.949013441003702,earth,1,statics_wall,single_face_wall_4course_v1,-1,6,0,base,0.354,0.0,skipped,skipped,40,14.949013441003702,1,no_feasible_pose
-0.2783124499771642,-0.005495003998232803,0.14628975320848972,0.020263500257458843,0.016687550022835784,0.011495003998232802,0.2783666914004478,0.5911641021048789,2.0,0.015275323731289476,4.711075548761589,0.0010328891397035258,0.2680218757005689,0.12031994260109698,3,-2.5923285089623214,-0.2932129355129245,-0.0006797406680953012,0.18248116829232275,6.123123777855497e-17,-0.0059999640000648,7.347836707678707e-19,0.999982000054,8,,4,0,8,-2.5923285089623214,earth,1,statics_wall,single_face_wall_4course_v1,55,7,1,middle,-0.295,0.006,multi_facet_clast_7,course_block_clast,,,,
0.17007927835569817,0.2721361142792817,0.04253461308948118,0.4373699312796744,0.3470792783556982,0.2661361142792817,0.3209128006499917,0.0,0.0,0.46101270544480244,20.245100152455475,0.24456571159491505,1.2511430892808346,-0.008418262145176048,0,32.23339067750209,-0.18883491977241873,0.005710671745007676,0.17804224843034758,1.0,0.0,0.0,0.0,8,,5,0,8,43.245465362414,earth,1,statics_wall,single_face_wall_4course_v1,-1,8,1,middle,-0.177,0.006,skipped,skipped,115,43.245465362414,1,no_feasible_pose
-0.06854515178013589,0.013687354290162943,0.15302985377505912,0.012255828755670418,0.009545151780135888,0.007687354290162943,0.06989836550325271,0.9529396343092328,1.0,0.006175341807604242,2.105984902220093,0.0032931498244505833,0.09712260057144217,0.1031603734548677,7,-6.145988151961549,-0.059408638917923015,0.0049970680314236245,0.1791256433448134,0.9237298680680254,0.006887929820301199,0.016628933588845225,-0.3826214393228859,8,,6,0,8,-6.145988151961549,earth,1,statics_wall,single_face_wall_4course_v1,100,9,1,middle,-0.059,0.006,multi_facet_clast_10,compact_block_clast,,,,
