gravity,trial,strategy,target_name,rock_index,slot_id,course,role,cluster_label,source_kind,failure_reason,target_error_xy_m,horizontal_drift_m,final_x,final_y,final_z,volume,roughness,angularity,spike_score,flatness,elongation,stability_score
earth,1,statics_wall,single_face_wall_4course_v1,40,14,2,middle,multi_facet_clast_7,compact_block_clast,unstable_structure,0.19001448735949975,1.5132908611844183e-06,-0.09155705436736553,-0.1757203831250453,0.06631184195236897,0.001541121079023975,0.03276283511223544,0.23216500776273277,0.04873379460757543,1.0000604158813573,1.0395804473179222,0.9748635288788534
earth,0,statics_wall,single_face_wall_4course_v1,76,7,1,middle,multi_facet_clast_10,compact_block_clast,missed_target,0.20116354110805693,0.0,-0.2936770571140281,0.2071591909241369,0.042062627287782345,0.0004614749231011335,0.05187149185443653,0.23207635900070342,0.0779969909619802,1.0479153550824045,1.0783882822897144,1.107130002959631
earth,0,statics_wall,single_face_wall_4course_v1,67,8,1,middle,multi_facet_clast_10,course_block_clast,unstable_structure,0.19769958560239062,0.0,-0.3338144753410985,-0.11439246849721535,0.04629089316593768,0.0005080342600613146,0.08260777426738936,0.23164693679734327,0.10255605474157559,1.0216302224475267,1.1294788943459995,1.0957180694987023
earth,0,statics_wall,single_face_wall_4course_v1,115,13,2,middle,multi_facet_clast_10,course_block_clast,missed_target,0.4920226413762006,0.0,-0.6519862984080437,-0.34459572114209674,0.04998638503205181,0.0006229261585370915,0.06107240161153634,0.2320013789687553,0.10707110950381149,1.168589103541224,1.0190617004007658,1.2979660377283426
earth,0,statics_wall,single_face_wall_4course_v1,106,19,3,cap,multi_facet_clast_7,equant_clast,missed_target,0.5153527563108642,0.0,-0.7397693902883509,-0.10865019487192917,0.055646390698573994,0.0007605556217535524,0.038974272576568394,0.23214975279055,0.047911130919844114,1.0223381840795351,1.0328405774225429,1.011597757221001
earth,0,statics_wall,single_face_wall_4course_v1,40,22,3,cap,multi_facet_clast_7,compact_block_clast,missed_target,0.24981585071347087,0.03147689735878684,-0.08657802014952903,-0.14337291564097476,0.06628551991427344,0.001541121079023975,0.03276283511223544,0.23216500776273277,0.04873379460757543,1.0000604158813573,1.0395804473179222,0.9748635288788534
earth,0,statics_wall,single_face_wall_4course_v1,129,23,3,cap,multi_facet_clast_10,cap_block_clast,missed_target+post_hold_drift,0.30451196969096755,0.3003563197648563,0.13536797197219383,0.2874034352962462,0.052444370783477856,0.0007801913033641163,0.04250995279481737,0.232258772289915,0.09149842626204041,1.0607634562439718,1.0764980425810338,1.133736075829737
moon,0,statics_wall,single_face_wall_4course_v1,16,1,0,base,multi_facet_clast_7,compact_block_clast,missed_target,15.929418406638442,0.0,14.943170056722774,-4.831062736380301,0.06605942720957247,0.0015605963323450356,0.037419016980378285,0.23213286186660262,0.043790230903293814,1.0502051442594278,1.0237029490420944,1.0582418897170274
moon,0,statics_wall,single_face_wall_4course_v1,55,7,1,middle,multi_facet_clast_7,course_block_clast,missed_target,0.20210716667895126,3.5395162362880115e-05,-0.12828976440141235,0.12025849714422465,0.057887155462545435,0.0013610733978975957,0.05979557546949189,0.2318952831829604,0.08491273121287546,1.0606337333037366,1.055847566255812,1.1094885452555616
moon,1,statics_wall,single_face_wall_4course_v1,106,10,1,middle,multi_facet_clast_7,equant_clast,missed_target,0.2066581923218756,1.3319206848549925e-14,0.024530971056007468,0.20976332961895652,0.05358100325227621,0.0007605556217535524,0.038974272576568394,0.23214975279055,0.047911130919844114,1.0223381840795351,1.0328405774225429,1.011597757221001
