cluster_label,count,source_kind_counts,mean_volume,mean_elongation,mean_flatness,mean_angularity,mean_spike_score,mean_compactness,mean_stability_score,mean_major_face_count,mean_largest_face_area_ratio,mean_support_face_area_ratio,mean_opposing_face_pair_count,mean_face_planarity,mean_support_plane_quality
multi_facet_clast,9,"{""tie_bridge_clast"": 9}",0.0011720015409432088,1.395663392526623,1.0664869393290628,0.23351250054876044,0.12993302113532015,0.4778939196286554,1.4483335730514364,11.333333333333334,0.06758272976470088,0.06758272976470088,3.6666666666666665,1.0,0.12999948937519104
multi_facet_clast_10,26,"{""cap_block_clast"": 3, ""chock_clast"": 5, ""compact_block_clast"": 6, ""course_block_clast"": 9, ""equant_clast"": 2, ""interlock_block_clast"": 1}",0.000552757507531792,1.0794121325596744,1.0675546816456587,0.2319095842831997,0.11794956118247156,0.4697653587884967,1.146910720561481,10.076923076923077,0.059703223401893775,0.059703223401893775,1.6153846153846154,1.0,0.09135524398158013
multi_facet_clast_2,4,"{""chock_clast"": 2, ""equant_clast"": 1, ""interlock_block_clast"": 1}",0.0010097862326654149,1.1350033062983305,1.1073190696305866,0.23131217690179826,0.13081982106895856,0.445160296234196,1.2950615955980855,10.25,0.09505427909112892,0.09505427909112892,2.0,0.9989676205310962,0.14955857685535223
multi_facet_clast_3,19,"{""bearing_block_clast"": 1, ""cap_block_clast"": 3, ""course_block_clast"": 5, ""equant_clast"": 1, ""interlock_block_clast"": 3, ""wall_block_clast"": 6}",0.0011028772088219284,1.1841563240211024,1.058368884571833,0.23221210270187592,0.13388272222227138,0.45872297693585856,1.2277795100804132,11.263157894736842,0.061518024379003534,0.061518024379003534,3.6842105263157894,1.0,0.12089204878309377
multi_facet_clast_4,5,"{""bearing_block_clast"": 1, ""buttress_clast"": 1, ""interlock_block_clast"": 1, ""tie_bridge_clast"": 1, ""wall_block_clast"": 1}",0.0007224309050373525,1.2376894467560973,1.299247086387667,0.23247636008568326,0.1400001435725668,0.4568662903914188,1.8589835977754565,9.8,0.11056257009798579,0.12709988261797647,2.6,0.9993637366619161,0.22379432032820942
multi_facet_clast_5,12,"{""bearing_block_clast"": 12}",0.002585227056863785,1.105152785250698,1.2709483331671516,0.23218434683618636,0.13156725735388156,0.4572647868257072,1.6406293454925285,10.5,0.06551266366189364,0.06551266366189364,2.9166666666666665,1.0000000000000002,0.12380046335710809
multi_facet_clast_6,7,"{""chock_clast"": 2, ""tie_bridge_clast"": 1, ""wall_block_clast"": 4}",0.00045592913795143765,1.1887319213634417,1.1320234440792374,0.23274165173175843,0.13285741225132325,0.47251408472143297,1.4062669277877078,10.0,0.06795256388984953,0.06795256388984953,2.5714285714285716,1.0,0.11932498366614189
multi_facet_clast_7,7,"{""compact_block_clast"": 3, ""course_block_clast"": 1, ""equant_clast"": 3}",0.0012920791743995885,1.051009149687314,1.0392778983168218,0.23195282547950144,0.05888406727422695,0.4782341833264538,1.062902908286277,10.857142857142858,0.05621258791178557,0.05621258791178557,2.142857142857143,1.0,0.09613091357203105
multi_facet_clast_8,27,"{""bearing_block_clast"": 9, ""buttress_clast"": 9, ""cap_block_clast"": 2, ""chock_clast"": 2, ""interlock_block_clast"": 4, ""tie_bridge_clast"": 1}",0.0010612825727458013,1.1527278811659325,1.244807372355079,0.2320674900660467,0.14163601933933825,0.45924722777156074,1.6322248801686583,9.11111111111111,0.06857500302491487,0.06857500302491487,2.2962962962962963,1.0,0.11843082196847546
multi_facet_clast_9,24,"{""bearing_block_clast"": 1, ""buttress_clast"": 2, ""cap_block_clast"": 3, ""compact_block_clast"": 3, ""course_block_clast"": 9, ""equant_clast"": 4, ""interlock_block_clast"": 1, ""wall_block_clast"": 1}",0.0013476992454458006,1.0844332657108529,1.0857932116341251,0.23192768499015645,0.12707918644953428,0.463265440317137,1.193788272378755,9.083333333333334,0.06080564114542535,0.06080564114542535,1.3333333333333333,1.0,0.08746199270163955
