settled_x,settled_y,settled_z,target_error_xy_m,target_x_error_m,target_y_error_m,radial_distance_m,support_overlap,support_contact_count,support_balance_error_m,bearing_pressure_proxy,placed_disturbance_xy_m,velocity_inf_norm_after_place,height_gain_m,candidate_id,candidate_score,placed_x,placed_y,placed_z,quat_w,quat_x,quat_y,quat_z,assignment_fallback_attempt,assignment_candidate_count,assignment_candidate_rock_index,assignment_selected_primary,gravity,trial,strategy,target_name,rock_index,slot_id,course,role,target_x,target_y,cluster_label,source_kind,assignment_tried_count,best_rejected_rock_index,best_rejected_score,placement_skipped,skip_reason
-0.3456420764263158,-0.010075118559970965,0.059897280281817775,0.013090565322438045,0.0083579235736842,0.010075118559970965,0.34578888503000293,1.0,1.0,0.0,4.182749362506954,0.0,22.526668388011878,0.1242457626597482,5,66.89258402580862,-0.358712521058443,0.0001621811849556416,0.11634848237793041,0.3845088837259144,-0.004009664115597082,0.01339808318130807,0.9230153478120492,0,6,379,1,earth,0,wall_bonded,single_face_wall_4course_v1,379,0,0,base,-0.354,0.0,compact_block_clast,equant_clast,,,,,
-0.20164558090448695,0.00571371153345828,0.06175246136360149,0.0348263206623629,0.03435441909551304,0.00571371153345828,0.2017265148605794,1.0,1.0,0.0,3.806221266191156,0.03199245181873033,36.56567316756476,0.12430461515459547,5,109.1965258603906,-0.22645167146407189,0.0006205340695052123,0.11455215379099398,0.2976071284958416,0.018986958103199936,0.012152260827861213,0.954422241488126,0,6,36,1,earth,0,wall_bonded,single_face_wall_4course_v1,36,1,0,base,-0.236,0.0,elongated_clast,bearing_block_clast,,,,,
0.23320850077882835,0.020452738952382324,0.07268364837979614,0.351803532600181,0.35120850077882837,0.020452738952382324,0.23410365090310548,1.0,1.0,0.0,3.0891189903022087,0.0013505467694107929,7.249486450923948,0.1288846707157241,3,23.9739697331334,-0.10746660383761732,-0.0038340655356564955,0.10820102233592796,-0.8686131153477391,0.004757235702344525,-0.0011501985391846878,0.49546675125349043,3,6,193,0,earth,0,wall_bonded,single_face_wall_4course_v1,-1,2,0,base,-0.118,0.0,skipped,skipped,6,193,23.9739697331334,1,assignment_gate_no_feasible_fallback
-0.001338027153631761,0.007271930613750888,0.05232039389521001,0.00739400375406067,0.001338027153631761,0.007271930613750888,0.00739400375406067,1.0,1.0,0.0,2.7285420695727507,0.00014680783273390036,7.249486450923948,0.10614551522841693,3,21.012047785056765,0.001871676654529931,-0.004430161946948146,0.10582512133320693,-0.867885164319782,0.003380326393847154,0.01844213493027375,0.4964109211190963,0,6,0,1,earth,0,wall_bonded,single_face_wall_4course_v1,0,3,0,base,0.0,0.0,wedge_or_broad_clast,bearing_block_clast,,,,,
0.14846561095054095,-0.017021879992050418,0.06425267212002932,0.034898393215927394,0.030465610950540956,0.017021879992050418,0.14943822146084698,1.0,1.0,0.0,3.904102622828644,0.0005024327298164144,0.16105567447336686,0.13593838858308793,0,-0.01670679492292393,0.118,0.0,0.12368571646305862,0.5098074514787465,0.00880298440896722,0.031656651867401,0.8596608204837459,0,6,290,1,earth,0,wall_bonded,single_face_wall_4course_v1,290,4,0,base,0.118,0.0,compact_block_clast,subangular_block,,,,,
0.9412322455812928,0.15234165989798182,0.07878304763070004,0.7214987883206079,0.7052322455812928,0.15234165989798182,0.9534810545902187,1.0,1.0,0.0,3.1189406068243786,0.026388347348448235,0.4725670322542733,0.13280372759376413,2,6.822590676320048,0.24439639003249583,-0.003364963989935437,0.10602067996306408,0.9615987219333081,0.0035749206904572553,-0.010969267559310963,0.2742166900235976,2,6,85,0,earth,0,wall_bonded,single_face_wall_4course_v1,-1,5,0,base,0.236,0.0,skipped,skipped,6,85,6.822590676320048,1,assignment_gate_no_feasible_fallback
0.34072653949153076,-0.0036442602193442323,0.04964825078006192,0.013764642618542154,0.013273460508469226,0.0036442602193442323,0.3407460276311669,1.0,1.0,0.0,3.4380649347927035,0.00014726940813982326,0.2855653963443197,0.10799394166840764,0,0.17507211555242164,0.354,0.0,0.11034569088834573,0.9416882037717882,0.005144512382925408,-0.033435862508057586,0.3347818752079441,0,6,229,1,earth,0,wall_bonded,single_face_wall_4course_v1,229,6,0,base,0.354,0.0,wedge_or_broad_clast,buttress_clast,,,,,
-0.2803345033135031,0.006374445064913523,0.15933399106175986,0.014670276144922714,0.01466549668649686,0.00037444506491352263,0.28040696727776593,0.4485064617318779,2.0,0.022069920578400737,3.9397799488545697,0.00031779555289406983,0.1245361722339953,0.09918028782343376,0,-0.7160452013009369,-0.295,0.006,0.2524555270708648,0.8794646381361506,0.003989256762292922,-0.020710049909502485,0.47549671915932307,0,6,364,1,earth,0,wall_bonded,single_face_wall_4course_v1,364,7,1,middle,-0.295,0.006,compact_block_clast_4,compact_block_clast,,,,,
-0.08877140323165796,-0.009452808474128646,0.12150380276585086,0.08957161703044551,0.08822859676834204,0.015452808474128646,0.08927327494701968,0.3582804393605288,2.0,0.10862492079601432,4.734964377969551,0.0004524092013415935,0.09393639645921191,0.05736724759969024,1,0.08893986562998643,-0.18405509831085262,0.0063442373528124,0.2484726751430303,-0.9777226994918138,0.05453531778338374,-0.023319974651507112,0.20134646953686303,0,6,44,1,earth,0,wall_bonded,single_face_wall_4course_v1,44,8,1,middle,-0.177,0.006,compact_block_clast_4,course_block_clast,,,,,
0.056111382295048924,-0.021516093732323348,0.14945876423321788,0.11835440738799255,0.11511138229504891,0.027516093732323346,0.06009517045952407,0.5319351920076779,2.0,0.08468335399401637,3.009083327299103,0.0016659784599196833,0.10102942403611664,0.08291293362716866,5,-0.1284823619764124,-0.0518750347217942,0.005167696054698125,0.24606339970314173,0.7152718125678761,-0.007301462564318155,0.0027327631593020768,0.6988028726299014,4,6,197,0,earth,0,wall_bonded,single_face_wall_4course_v1,197,9,1,middle,-0.059,0.006,compact_block_clast_6,wall_block_clast,,,,,
