index,source_kind,seed,volume,surface_area,bbox_x,bbox_y,bbox_z,elongation,flatness,sphericity,roughness,angularity,spike_score,compactness,stability_score,mass,cluster_id,cluster_label
0,bearing_block_clast,230030670,0.0011333943981302196,0.05733700038189796,0.1589150630636424,0.14183549793628877,0.10765024266641385,1.1204181278725134,1.3175585528014837,0.9168603604365517,0.10729251335117992,0.23180101950792267,0.09310197483482607,0.467106645888188,1.783294921529023,2.946825435138571,11,wedge_or_broad_clast
1,buttress_clast,1974831088,0.001133628459262549,0.05752853995267391,0.15688277502616557,0.14663195553192065,0.10927316657561784,1.069908496119138,1.3418843813815011,0.9139335057025487,0.10186385267534016,0.23271622126299832,0.15000000093818633,0.4509758880262414,1.760724598249364,2.9474339940826275,11,wedge_or_broad_clast
2,subangular_block,1907495340,0.0008947181547499586,0.04943573769264264,0.15091004782248596,0.12699098830047567,0.10461651818981989,1.1883524165149024,1.2138712939199405,0.9083096713797127,0.13223656477396664,0.23139249299873152,0.1599999999999997,0.44626715891336277,1.590466311259467,2.3262672023498925,8,angular_clast_3
3,course_block_clast,153808376,0.0021610124382952195,0.08674533441051417,0.17484424587188074,0.14938802336175314,0.17855643175939712,1.0212313872212673,1.1704033692746818,0.9318432062707912,0.07214625831235529,0.23186649751882726,0.13000000063582018,0.4633558419820861,1.3035813070418296,5.61863233956757,1,compact_block_clast_2
4,compact_block_clast,2119134749,0.0011990111983039263,0.0582956461131724,0.1358586253420962,0.13828017698561296,0.13948670539306338,1.0087252448886868,1.0178240552443338,0.9362607786870015,0.04831781167421762,0.23193043302912697,0.07310663344952673,0.4575549731078387,0.9783970665770076,3.1174291155902085,0,compact_block_clast
5,wall_block_clast,1982302112,0.001573099615863807,0.07105472277519273,0.18041556217984905,0.138247599142999,0.13617660420292294,1.3050176878170074,1.0152081552642478,0.9205809673885054,0.10433046809258595,0.2327528483088512,0.1300000799428389,0.4631504933894766,1.2381936871818975,4.090059001245898,4,angular_clast_2
6,tie_bridge_clast,687734741,0.0008580192708709776,0.04730985173205634,0.1449343495102609,0.10983966278276816,0.11197600627788115,1.2943339767859723,1.019449654532699,0.9229905025826015,0.09217246155411327,0.23300697675599213,0.1300001122749499,0.4813284712568812,1.2415812632994743,2.2308501042645417,4,angular_clast_2
7,equant_clast,76765154,0.0007163948243166346,0.04158178153514756,0.12040433505263068,0.12014456589782806,0.10799728369222761,1.0021621381946106,1.1124776641625356,0.9311421618881435,0.07761780466450556,0.23143672606469687,0.15000000450336093,0.45855702484778227,1.1548792629047804,1.8626265432232498,9,compact_block_clast_6
8,course_block_clast,1318155093,0.0008234205579119558,0.045441700653493615,0.11762362818817403,0.12314878066085844,0.12196892736912987,1.009673392372779,1.0369424005014047,0.9349262458887502,0.05869578800205772,0.23170600040685596,0.08384482291130002,0.46606642038173984,1.0150034760379403,2.140893450571085,5,compact_block_clast_4
9,chock_clast,187844238,0.00044565643563366803,0.030638108486680388,0.09685355171905197,0.1025843545989524,0.10117328099133069,1.0139470974331912,1.0446006284292928,0.9209208305428637,0.09617272757305775,0.23080062858896971,0.1400000002840356,0.4433407651492727,1.0189154753182643,1.1587067326475369,9,compact_block_clast_6
